buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 280, reward:-3.9207770156407005,unbalance:97.25758846771035,buffer_length: 38000
curren epsiode is 281, reward:-14.502419839617469,unbalance:922.2832890650401,buffer_length: 39000
curren epsiode is 282, reward:-6.301576586980645,unbalance:233.435447895603,buffer_length: 39000
curren epsiode is 283, reward:-9.636740794651129,unbalance:647.8678626039182,buffer_length: 39000
curren epsiode is 284, reward:-6.253110661534863,unbalance:169.86901362436058,buffer_length: 39000
curren epsiode is 285, reward:-8.258113667577648,unbalance:435.01347582364747,buffer_length: 39000
curren epsiode is 286, reward:-19.444996897547075,unbalance:1189.017095617097,buffer_length: 39000
curren epsiode is 287, reward:-3.1320354005148756,unbalance:57.05474221636611,buffer_length: 39000
curren epsiode is 288, reward:-4.860502649306612,unbalance:84.10992301625012,buffer_length: 39000
curren epsiode is 289, reward:-7.735671154310136,unbalance:264.4664821540396,buffer_length: 39000
curren epsiode is 290, reward:-12.486062031917907,unbalance:504.596511580654,buffer_length: 39000
curren epsiode is 291, reward:-9.94840391727924,unbalance:552.1757918667528,buffer_length: 40000
curren epsiode is 292, reward:-1.100296524725402,unbalance:15.35778675160227,buffer_length: 40000
curren epsiode is 293, reward:-6.127272741314715,unbalance:169.11317969433605,buffer_length: 40000
curren epsiode is 294, reward:-11.812502722583824,unbalance:621.568048014908,buffer_length: 40000
curren epsiode is 295, reward:-16.603368714305613,unbalance:1321.4666232065947,buffer_length: 40000
curren epsiode is 296, reward:-9.054176305496195,unbalance:531.445389193763,buffer_length: 40000
curren epsiode is 297, reward:-9.799746202488787,unbalance:602.1094243273808,buffer_length: 40000
curren epsiode is 298, reward:-9.755787769169926,unbalance:604.3479508232596,buffer_length: 40000
curren epsiode is 299, reward:-4.170521550682442,unbalance:53.949696914128694,buffer_length: 40000
