buffer:0
buffer:1000
buffer:2000
buffer:3000
buffer:4000
buffer:5000
buffer:6000
buffer:7000
buffer:8000
buffer:9000
curren epsiode is 229, reward:-6.449720778038062,unbalance:89.09868250273865,buffer_length: 33000
curren epsiode is 230, reward:-9.58024540229647,unbalance:165.32700642599156,buffer_length: 33000
curren epsiode is 231, reward:-7.922113694158803,unbalance:122.33119278649798,buffer_length: 34000
curren epsiode is 232, reward:-4.585534038546417,unbalance:17.34636642993169,buffer_length: 34000
curren epsiode is 233, reward:-9.210589169366308,unbalance:123.74130496037077,buffer_length: 34000
curren epsiode is 234, reward:-12.554535113512536,unbalance:511.5507264200037,buffer_length: 34000
curren epsiode is 235, reward:-3.686786676761781,unbalance:63.90387499767286,buffer_length: 34000
curren epsiode is 236, reward:-20.361520881119873,unbalance:867.7738532502611,buffer_length: 34000
curren epsiode is 237, reward:-10.332575215976428,unbalance:229.90877546719457,buffer_length: 34000
curren epsiode is 238, reward:-4.689937539533979,unbalance:105.83628155185173,buffer_length: 34000
curren epsiode is 239, reward:-18.533981887832425,unbalance:1015.8913047062787,buffer_length: 34000
curren epsiode is 240, reward:-2.5792936025979456,unbalance:1.896658336172326,buffer_length: 34000
curren epsiode is 241, reward:-6.604917220118302,unbalance:113.25381190185118,buffer_length: 35000
curren epsiode is 242, reward:-6.576626164211483,unbalance:55.56025231549165,buffer_length: 35000
curren epsiode is 243, reward:-5.537455608529028,unbalance:0.0,buffer_length: 35000
curren epsiode is 244, reward:-20.79442452291454,unbalance:1261.456435209786,buffer_length: 35000
curren epsiode is 245, reward:-3.932725401598687,unbalance:138.85895188046635,buffer_length: 35000
curren epsiode is 246, reward:-17.807183729807416,unbalance:821.1534775425183,buffer_length: 35000
curren epsiode is 247, reward:-8.068096472073119,unbalance:60.51537141781745,buffer_length: 35000
curren epsiode is 248, reward:-4.779892740112338,unbalance:92.82471467589122,buffer_length: 35000
curren epsiode is 249, reward:-17.361213814544584,unbalance:955.6873625114836,buffer_length: 35000
